#,Company,Symbol,Weight,Price,Chg,% Chg
69,Intuitive Surgical Inc.,ISRG,0.327059,1049.61,-9.3,(-0.88%)
70,Applied Materials Inc.,AMAT,0.325066,135.19,-0.86,(-0.63%)
71,International Business Machines Corporation,IBM,0.323322,140.15,1.18,(0.85%)
72,Target Corporation,TGT,0.321728,246.82,-2.54,(-1.02%)
73,Boeing Company,BA,0.312055,219.14,1.48,(0.68%)
74,Deere & Company,DE,0.309917,377.88,-3.13,(-0.82%)
75,Caterpillar Inc.,CAT,0.30209,210.99,-0.46,(-0.22%)
76,General Electric Company,GE,0.30018,105.6,0.41,(0.39%)
77,3M Company,MMM,0.295794,194.9,-1.27,(-0.65%)
78,Moderna Inc.,MRNA,0.295035,375.1,4.41,(1.19%)
79,Charter Communications Inc. Class A,CHTR,0.292447,818.16,3.96,(0.49%)
80,CVS Health Corporation,CVS,0.290487,86.28,1.68,(1.99%)
81,Charles Schwab Corporation,SCHW,0.287273,72.8,-0.65,(-0.88%)
82,American Express Company,AXP,0.278705,165.67,1.41,(0.86%)
83,S&P Global Inc.,SPGI,0.278367,444.12,0.05,(0.01%)
84,Prologis Inc.,PLD,0.257549,134.28,0.55,(0.41%)
85,Zoetis Inc. Class A,ZTS,0.254766,204.22,-1.67,(-0.81%)
86,Booking Holdings Inc.,BKNG,0.24296,2300.01,22.3,(0.98%)
87,Altria Group Inc,MO,0.239842,50.27,0.57,(1.15%)
88,Anthem Inc.,ANTM,0.236343,374.93,4.36,(1.18%)
89,Gilead Sciences Inc.,GILD,0.235644,72.68,0.67,(0.92%)
90,Analog Devices Inc.,ADI,0.233892,163.62,-3.36,(-2.01%)
91,Stryker Corporation,SYK,0.233616,276.07,1.99,(0.72%)
92,Automatic Data Processing Inc.,ADP,0.231983,208.64,-0.43,(-0.21%)
93,Lockheed Martin Corporation,LMT,0.230953,359.54,-2.52,(-0.69%)
94,TJX Companies Inc,TJX,0.228976,72.62,-0.18,(-0.25%)
95,Mondelez International Inc. Class A,MDLZ,0.227691,62.06,-0.11,(-0.17%)
96,Lam Research Corporation,LRCX,0.226273,606,-1.99,(-0.33%)
97,Crown Castle International Corp,CCI,0.216023,194.16,1.85,(0.96%)
